name,population
California,38332521
Texas,26448193
New York,19651127
Florida,19552860
Illinois,12882135
Pennsylvania,12773801
Ohio,11570808
Georgia,9992167
Michigan,9895622
North Carolina,9848060
New Jersey,8899339
Virginia,8260405
Washington,6971406
Massachusetts,6692824
Arizona,6626624
Indiana,6570902
Tennessee,6495978
Missouri,6044171
Maryland,5928814
Wisconsin,5742713
Minnesota,5420380
Colorado,5268367
Alabama,4833722
South Carolina,4774839
Louisiana,4625470
Kentucky,4395295
Oregon,3930065
Oklahoma,3850568
Puerto Rico,3615086
Connecticut,3596080
Iowa,3090416
Mississippi,2991207
Arkansas,2959373
Utah,2900872
Kansas,2893957
Nevada,2790136
New Mexico,2085287
Nebraska,1868516
West Virginia,1854304
Idaho,1612136
Hawaii,1404054
Maine,1328302
New Hampshire,1323459
Rhode Island,1051511
Montana,1015165
Delaware,925749
South Dakota,844877
Alaska,735132
North Dakota,723393
District of Columbia,646449
Vermont,626630
Wyoming,582658
